id,label,realizationOf
functionalPropertiesLODStatsDetectorOwlFunctionalProperty-v1,owl:FunctionalProperty detector (LODStats) v1,functionalPropertiesDetectorOwlFunctionalProperty
inverseFunctionalPropertiesLODStatsDetectorOwlInverseFunctionalProperty-v1,owl:InverseFunctionalProperty detector (LODStats) v1,inverseFunctionalPropertiesDetectorOwlInverseFunctionalProperty
subsumptionLODStatsDetectorRdfsSubClassOf-v1,rdfs:subClassOf detector (LODStats) v1,subsumptionDetectorRdfsSubClassOf
subsumptionLODStatsDetectorOwlSubClassOf-v1,owl:SubClassOf detector (LODStats) v1,subsumptionDetectorOwlSubClassOf
propertyDomainLODStatsDetectorRdfsDomain-v1,rdfs:domain detector (LODStats) v1,propertyDomainDetectorRdfsDomain
propertyDomainLODStatsDetectorOwlObjectPropertyDomain-v1,owl:ObjectPropertyDomain detector (LODStats) v1,propertyDomainDetectorOwlObjectPropertyDomain
propertyDomainLODStatsDetectorOwlDataPropertyDomain-v1,owl:DataPropertyDomain detector (LODStats) v1,propertyDomainDetectorOwlDataPropertyDomain
propertyRangeLODStatsDetectorRdfsRange-v1,rdfs:range detector (LODStats) v1,propertyRangeDetetorRdfsRange
propertyRangeLODStatsDetectorOwlObjectPropertyRange-v1,owl:ObjectPropertyRange detector (LODStats) v1,propertyRangeDetectorOwlObjectPropertyRange
literalPatternMatchingLODStatsDetectorXsdPatternOwlRestriction-v1,"owl:withRestrictions, xsd:pattern detector (LODStats) v1",literalPatternMatchingDetectorXsdPatternOwlRestriction
literalRangesLODStatsDetectorXsdMinMaxOwlRestriction-v1,"owl:withRestriction, xsd:minInclusive, xsd:minExclusive, xsd:maxInclusive, xsd:maxExclusive detector v1",literalRangesDetectorXsdMinMaxOwlRestriction
universalQuantificationLODStatsDetectorOwlAllValuesFrom-v1,owl:allValuesFrom detector (LODStats) v1,universalQuantificationDetectorOwlAllValuesFrom
minimumUnqualifiedCardinalityLODStatsDetectorOwl-v1,owl:minCardinality detector (LODStats) v1,minimumUnqualifiedCardinalityDetectorOwlMinCardinality
minimumQualifiedCardinalityLODStatsDetector-v1,owl:minQualifiedCardinality detector (LODStats) v1,minimumQualifiedCardinalityDetectorOwl
maximumUnqualifiedCardinalityLODStatsDetectorOwl-v1,owl:maxCardinality detector (LODStats) v1,maximumUnqualifiedCardinalityDetectorOwlMaxCardinality
maximumQualifiedCardinalityLODStatsDetector-v1,owl:maxQualifiedCardinality detector (LODStats) v1,maximumQualifiedCardinalityDetectorOwl
exactQualifiedCardinalityLODStatsDetectorOwlCardinality-v1,owl:qualifiedCardinality detector (LODStats) v1,exactQualifiedCardinalityDetectorOwlCardinality
exactUnqualifiedCardinalityLODStatsDetectorOwlCardinality-v1,owl:cardinality detector (LODStats) v1,exactUnqualifiedCardinalityDetectorOwlCardinality
exactUnqualifiedCardinalityLODStatsDetectorOwlMinMax-v1,owl:minCardinality==owl:maxCardinality detector (LODStats) v1,exactUnqualifiedCardinalityDetectorOwlMinMax
asymmetricPropertiesLODStatsDetectorOwlAsymmetricProperty-v1,owl:AsymmetricProperty detector (LODStats) v1,asymmetricPropertiesDetectorOwlAsymmetricProperty
irreflexivePropertiesLODStatsDetectorOwlIrreflexiveProperty-v1,owl:IrreflexiveProperty detector (LODStats) v1,irreflexivePropertiesDetectorOwlIrreflexiveProperty
disjointPropertiesLODStatsDetectorOwlDisjointWith-v1,owl:propertyDisjointWith detector (LODStats) v1,disjointPropertiesDetectorOwlDisjointWith
disjointPropertiesLODStatsDetectorOwlAllDisjointProperties-v1,owl:AllDisjointProperties detector (LODStats) v1,disjointPropertiesDetectorOwlAllDisjointProperties
disjointClassesLODStatsDetectorOwlDisjointWith-v1,owl:disjointWith detector (LODStats) v1,disjointClassesDetectorOwlDisjointWith
disjointClassesLODStatsDetectorOwlAllDisjointClasses-v1,owl:AllDisjointClasses detector (LODStats) v1,disjoinClassesDetectorOwlAllDisjointClasses
